000000 000000 [hunk] lha start:002000 end:00ef60
000001 000001 [args] e skid.lha_
000002 000002 [home] .
000609 0020b8: 5380                : subq.l  #1, D0
00060a 0020ba: 66fa                : bne     $20b6
00060b 0020b6: 20dc                : move.l  (A4)+, (A0)+
00060c 0020b8: 5380                : subq.l  #1, D0
00060d 0020ba: 66fa                : bne     $20b6
00060e 0020b6: 20dc                : move.l  (A4)+, (A0)+
00065b 0020b8: 5380                : subq.l  #1, D0
00065c 0020ba: 66fa                : bne     $20b6
00065d 0020b6: 20dc                : move.l  (A4)+, (A0)+
00065e 0020b8: 5380                : subq.l  #1, D0
00065f 0020ba: 66fa                : bne     $20b6
000660 0020b6: 20dc                : move.l  (A4)+, (A0)+
0006ad 0020b8: 5380                : subq.l  #1, D0
0006ae 0020ba: 66fa                : bne     $20b6
0006af 0020b6: 20dc                : move.l  (A4)+, (A0)+
0006b0 0020b8: 5380                : subq.l  #1, D0
0006b1 0020ba: 66fa                : bne     $20b6
0006b2 0020b6: 20dc                : move.l  (A4)+, (A0)+
0006ff 0020b8: 5380                : subq.l  #1, D0
000700 0020ba: 66fa                : bne     $20b6
000701 0020b6: 20dc                : move.l  (A4)+, (A0)+
000702 0020b8: 5380                : subq.l  #1, D0
000703 0020ba: 66fa                : bne     $20b6
000704 0020b6: 20dc                : move.l  (A4)+, (A0)+
000751 0020b8: 5380                : subq.l  #1, D0
000752 0020ba: 66fa                : bne     $20b6
000753 0020b6: 20dc                : move.l  (A4)+, (A0)+
000754 0020b8: 5380                : subq.l  #1, D0
000755 0020ba: 66fa                : bne     $20b6
000756 0020b6: 20dc                : move.l  (A4)+, (A0)+
0007a3 0020b8: 5380                : subq.l  #1, D0
0007a4 0020ba: 66fa                : bne     $20b6
0007a5 0020b6: 20dc                : move.l  (A4)+, (A0)+
0007a6 0020b8: 5380                : subq.l  #1, D0
0007a7 0020ba: 66fa                : bne     $20b6
0007a8 0020b6: 20dc                : move.l  (A4)+, (A0)+
0007f5 0020b8: 5380                : subq.l  #1, D0
0007f6 0020ba: 66fa                : bne     $20b6
0007f7 0020b6: 20dc                : move.l  (A4)+, (A0)+
0007f8 0020b8: 5380                : subq.l  #1, D0
0007f9 0020ba: 66fa                : bne     $20b6
0007fa 0020b6: 20dc                : move.l  (A4)+, (A0)+
000847 0020b8: 5380                : subq.l  #1, D0
000848 0020ba: 66fa                : bne     $20b6
000849 0020b6: 20dc                : move.l  (A4)+, (A0)+
00084a 0020b8: 5380                : subq.l  #1, D0
00084b 0020ba: 66fa                : bne     $20b6
00084c 0020b6: 20dc                : move.l  (A4)+, (A0)+
000899 0020b8: 5380                : subq.l  #1, D0
00089a 0020ba: 66fa                : bne     $20b6
00089b 0020b6: 20dc                : move.l  (A4)+, (A0)+
00089c 0020b8: 5380                : subq.l  #1, D0
00089d 0020ba: 66fa                : bne     $20b6
00089e 0020b6: 20dc                : move.l  (A4)+, (A0)+
0008eb 0020b8: 5380                : subq.l  #1, D0
0008ec 0020ba: 66fa                : bne     $20b6
0008ed 0020b6: 20dc                : move.l  (A4)+, (A0)+
0008ee 0020b8: 5380                : subq.l  #1, D0
0008ef 0020ba: 66fa                : bne     $20b6
0008f0 0020b6: 20dc                : move.l  (A4)+, (A0)+
00093d 0020b8: 5380                : subq.l  #1, D0
00093e 0020ba: 66fa                : bne     $20b6
00093f 0020b6: 20dc                : move.l  (A4)+, (A0)+
000940 0020b8: 5380                : subq.l  #1, D0
000941 0020ba: 66fa                : bne     $20b6
000942 0020b6: 20dc                : move.l  (A4)+, (A0)+
00098f 0020b8: 5380                : subq.l  #1, D0
000990 0020ba: 66fa                : bne     $20b6
000991 0020b6: 20dc                : move.l  (A4)+, (A0)+
000992 0020b8: 5380                : subq.l  #1, D0
000993 0020ba: 66fa                : bne     $20b6
000994 0020b6: 20dc                : move.l  (A4)+, (A0)+
0009e1 0020b8: 5380                : subq.l  #1, D0
0009e2 0020ba: 66fa                : bne     $20b6
0009e3 0020b6: 20dc                : move.l  (A4)+, (A0)+
0009e4 0020b8: 5380                : subq.l  #1, D0
0009e5 0020ba: 66fa                : bne     $20b6
0009e6 0020b6: 20dc                : move.l  (A4)+, (A0)+
000a33 0020b8: 5380                : subq.l  #1, D0
000a34 0020ba: 66fa                : bne     $20b6
000a35 0020b6: 20dc                : move.l  (A4)+, (A0)+
000a36 0020b8: 5380                : subq.l  #1, D0
000a37 0020ba: 66fa                : bne     $20b6
000a38 0020b6: 20dc                : move.l  (A4)+, (A0)+
000a85 0020b8: 5380                : subq.l  #1, D0
000a86 0020ba: 66fa                : bne     $20b6
000a87 0020b6: 20dc                : move.l  (A4)+, (A0)+
000a88 0020b8: 5380                : subq.l  #1, D0
000a89 0020ba: 66fa                : bne     $20b6
000a8a 0020b6: 20dc                : move.l  (A4)+, (A0)+
000ad7 0020b8: 5380                : subq.l  #1, D0
000ad8 0020ba: 66fa                : bne     $20b6
000ad9 0020b6: 20dc                : move.l  (A4)+, (A0)+
000ada 0020b8: 5380                : subq.l  #1, D0
000adb 0020ba: 66fa                : bne     $20b6
000adc 0020b6: 20dc                : move.l  (A4)+, (A0)+
000b29 0020b8: 5380                : subq.l  #1, D0
000b2a 0020ba: 66fa                : bne     $20b6
000b2b 0020b6: 20dc                : move.l  (A4)+, (A0)+
000b2c 0020b8: 5380                : subq.l  #1, D0
000b2d 0020ba: 66fa                : bne     $20b6
000b2e 0020b6: 20dc                : move.l  (A4)+, (A0)+
000b7b 0020b8: 5380                : subq.l  #1, D0
000b7c 0020ba: 66fa                : bne     $20b6
000b7d 0020b6: 20dc                : move.l  (A4)+, (A0)+
000b7e 0020b8: 5380                : subq.l  #1, D0
000b7f 0020ba: 66fa                : bne     $20b6
000b80 0020b6: 20dc                : move.l  (A4)+, (A0)+
000bcd 0020b8: 5380                : subq.l  #1, D0
000bce 0020ba: 66fa                : bne     $20b6
000bcf 0020b6: 20dc                : move.l  (A4)+, (A0)+
000bd0 0020b8: 5380                : subq.l  #1, D0
000bd1 0020ba: 66fa                : bne     $20b6
000bd2 0020b6: 20dc                : move.l  (A4)+, (A0)+
000c1f 0020b8: 5380                : subq.l  #1, D0
000c20 0020ba: 66fa                : bne     $20b6
000c21 0020b6: 20dc                : move.l  (A4)+, (A0)+
000c22 0020b8: 5380                : subq.l  #1, D0
000c23 0020ba: 66fa                : bne     $20b6
000c24 0020b6: 20dc                : move.l  (A4)+, (A0)+
000c71 0020b8: 5380                : subq.l  #1, D0
000c72 0020ba: 66fa                : bne     $20b6
000c73 0020b6: 20dc                : move.l  (A4)+, (A0)+
000c74 0020b8: 5380                : subq.l  #1, D0
000c75 0020ba: 66fa                : bne     $20b6
000c76 0020b6: 20dc                : move.l  (A4)+, (A0)+
000cc3 0020b8: 5380                : subq.l  #1, D0
000cc4 0020ba: 66fa                : bne     $20b6
000cc5 0020b6: 20dc                : move.l  (A4)+, (A0)+
000cc6 0020b8: 5380                : subq.l  #1, D0
000cc7 0020ba: 66fa                : bne     $20b6
000cc8 0020b6: 20dc                : move.l  (A4)+, (A0)+
000d15 0020b8: 5380                : subq.l  #1, D0
000d16 0020ba: 66fa                : bne     $20b6
000d17 0020b6: 20dc                : move.l  (A4)+, (A0)+
000d18 0020b8: 5380                : subq.l  #1, D0
000d19 0020ba: 66fa                : bne     $20b6
000d1a 0020b6: 20dc                : move.l  (A4)+, (A0)+
000d67 0020b8: 5380                : subq.l  #1, D0
000d68 0020ba: 66fa                : bne     $20b6
000d69 0020b6: 20dc                : move.l  (A4)+, (A0)+
000d6a 0020b8: 5380                : subq.l  #1, D0
000d6b 0020ba: 66fa                : bne     $20b6
000d6c 0020b6: 20dc                : move.l  (A4)+, (A0)+
000db9 0020b8: 5380                : subq.l  #1, D0
000dba 0020ba: 66fa                : bne     $20b6
000dbb 0020b6: 20dc                : move.l  (A4)+, (A0)+
000dbc 0020b8: 5380                : subq.l  #1, D0
000dbd 0020ba: 66fa                : bne     $20b6
000dbe 0020b6: 20dc                : move.l  (A4)+, (A0)+
000e0b 0020b8: 5380                : subq.l  #1, D0
000e0c 0020ba: 66fa                : bne     $20b6
000e0d 0020b6: 20dc                : move.l  (A4)+, (A0)+
000e0e 0020b8: 5380                : subq.l  #1, D0
000e0f 0020ba: 66fa                : bne     $20b6
000e10 0020b6: 20dc                : move.l  (A4)+, (A0)+
000e5d 0020b8: 5380                : subq.l  #1, D0
000e5e 0020ba: 66fa                : bne     $20b6
000e5f 0020b6: 20dc                : move.l  (A4)+, (A0)+
000e60 0020b8: 5380                : subq.l  #1, D0
000e61 0020ba: 66fa                : bne     $20b6
000e62 0020b6: 20dc                : move.l  (A4)+, (A0)+
000eaf 0020b8: 5380                : subq.l  #1, D0
000eb0 0020ba: 66fa                : bne     $20b6
000eb1 0020b6: 20dc                : move.l  (A4)+, (A0)+
000eb2 0020b8: 5380                : subq.l  #1, D0
000eb3 0020ba: 66fa                : bne     $20b6
000eb4 0020b6: 20dc                : move.l  (A4)+, (A0)+
000f01 0020b8: 5380                : subq.l  #1, D0
000f02 0020ba: 66fa                : bne     $20b6
000f03 0020b6: 20dc                : move.l  (A4)+, (A0)+
000f04 0020b8: 5380                : subq.l  #1, D0
000f05 0020ba: 66fa                : bne     $20b6
000f06 0020b6: 20dc                : move.l  (A4)+, (A0)+
000f53 0020b8: 5380                : subq.l  #1, D0
000f54 0020ba: 66fa                : bne     $20b6
000f55 0020b6: 20dc                : move.l  (A4)+, (A0)+
000f56 0020b8: 5380                : subq.l  #1, D0
000f57 0020ba: 66fa                : bne     $20b6
000f58 0020b6: 20dc                : move.l  (A4)+, (A0)+
000fa5 0020b8: 5380                : subq.l  #1, D0
000fa6 0020ba: 66fa                : bne     $20b6
000fa7 0020b6: 20dc                : move.l  (A4)+, (A0)+
000fa8 0020b8: 5380                : subq.l  #1, D0
000fa9 0020ba: 66fa                : bne     $20b6
000faa 0020b6: 20dc                : move.l  (A4)+, (A0)+
000ff7 0020b8: 5380                : subq.l  #1, D0
000ff8 0020ba: 66fa                : bne     $20b6
000ff9 0020b6: 20dc                : move.l  (A4)+, (A0)+
000ffa 0020b8: 5380                : subq.l  #1, D0
000ffb 0020ba: 66fa                : bne     $20b6
000ffc 0020b6: 20dc                : move.l  (A4)+, (A0)+
001049 0020b8: 5380                : subq.l  #1, D0
00104a 0020ba: 66fa                : bne     $20b6
00104b 0020b6: 20dc                : move.l  (A4)+, (A0)+
00104c 0020b8: 5380                : subq.l  #1, D0
00104d 0020ba: 66fa                : bne     $20b6
00104e 0020b6: 20dc                : move.l  (A4)+, (A0)+
00109b 0020b8: 5380                : subq.l  #1, D0
00109c 0020ba: 66fa                : bne     $20b6
00109d 0020b6: 20dc                : move.l  (A4)+, (A0)+
00109e 0020b8: 5380                : subq.l  #1, D0
00109f 0020ba: 66fa                : bne     $20b6
0010a0 0020b6: 20dc                : move.l  (A4)+, (A0)+
0010ed 0020b8: 5380                : subq.l  #1, D0
0010ee 0020ba: 66fa                : bne     $20b6
0010ef 0020b6: 20dc                : move.l  (A4)+, (A0)+
0010f0 0020b8: 5380                : subq.l  #1, D0
0010f1 0020ba: 66fa                : bne     $20b6
0010f2 0020b6: 20dc                : move.l  (A4)+, (A0)+
00113f 0020b8: 5380                : subq.l  #1, D0
001140 0020ba: 66fa                : bne     $20b6
